code,resource_key,file,duration_seconds,sample_rate_hz,channels,integrated_lufs,true_peak_dbtp,loop_test_required_seconds,crossfade_ms,status,manual_checks
A01-L,hair_wash_water_cycle,dw_ref_env_hair_wash_water_cycle_loop_sc_hair_far_v03_t01.wav,48.75,48000,2,-25.15,-3.5,120,1200,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认；连续循环2分钟待确认
A02,hair_wash_wet,dw_ref_env_hair_wash_wet_oneshot_sc_hair_wet_v03_t01.wav,29.975,48000,2,-24.99,-3.5,0,0,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认
A03,hair_wash_foam_start,dw_ref_trg_hair_wash_foam_start_oneshot_sc_hair_near_v03_t01.wav,3.4,48000,2,-23.4,-3.47,0,0,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认
A04-L,hair_wash_foam_rub,dw_ref_amb_hair_wash_foam_rub_loop_sc_hair_near_v03_t01.wav,108.75,48000,2,-22.94,-3.5,120,1200,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认；连续循环2分钟待确认
A05-L,hair_wash_scalp_foam,dw_ref_amb_hair_wash_scalp_foam_loop_sc_hair_near_v03_t01.wav,108.75,48000,2,-23.11,-3.43,120,1200,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认；连续循环2分钟待确认
A07,hair_wash_rinse,dw_ref_env_hair_wash_rinse_oneshot_sc_hair_wet_v03_t01.wav,44.975,48000,2,-25.1,-3.53,0,0,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认
A10-L,hair_wash_finger_massage,dw_ref_amb_hair_wash_finger_massage_loop_sc_hair_near_v03_t01.wav,134.75,48000,2,-24.27,-3.22,120,1200,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认；连续循环2分钟待确认
A11,hair_towel,dw_ref_trg_hair_towel_press_oneshot_sc_hair_soft_v05_t01.wav,6.0,48000,2,-22.44,-3.66,0,0,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认
A12,water_drip_roomtone,dw_ref_amb_water_drip_sparse_oneshot_sc_room_far_v01_t01.wav,25.0,48000,2,-33.57,-9.93,0,0,machine_pass_human_pending,手机外放/耳机/授权/路径安全待确认
V01,voice_phrase_01,dw_ref_vox_hair_wash_phrase_01_oneshot_sc_hair_center_v02_t01.wav,4.1,48000,2,-40.23,-16.54,0,0,sample_copy_pass;duration_out_of_spec;loudness_out_of_spec;qc_pending,逐句完整性/文本/语气/爆破音/手机外放/耳机/声线授权待确认
