code,resource_key,recommended_master,alternative_files,demo_file,timeline_usage
A01-L,hair_wash_water_cycle,dw_ref_env_hair_wash_water_cycle_loop_sc_hair_far_v03_t01.wav,,,a01_open;a01_tune;a01_approach;a01_exit
A02,hair_wash_wet,dw_ref_env_hair_wash_wet_oneshot_sc_hair_wet_v03_t01.wav,,,a02_wet_1;a02_wet_2
A03,hair_wash_foam_start,dw_ref_trg_hair_wash_foam_start_oneshot_sc_hair_near_v03_t01.wav,,,a03_press
A04-L,hair_wash_foam_rub,dw_ref_amb_hair_wash_foam_rub_loop_sc_hair_near_v03_t01.wav,,,a04_foam_start;a04_foam_spread;a04_left_rub;a04_quiet_hold
A05-L,hair_wash_scalp_foam,dw_ref_amb_hair_wash_scalp_foam_loop_sc_hair_near_v03_t01.wav,,,a05_right_front;a05_crown;a05_left_ear;a05_right_ear
A07,hair_wash_rinse,dw_ref_env_hair_wash_rinse_oneshot_sc_hair_wet_v03_t01.wav,,,a07_rinse_1;a07_rinse_2;a07_rinse_3
A10-L,hair_wash_finger_massage,dw_ref_amb_hair_wash_finger_massage_loop_sc_hair_near_v03_t01.wav,,,a10_close;a10_final_touch
A11,hair_towel,dw_ref_trg_hair_towel_press_oneshot_sc_hair_soft_v05_t01.wav,,,a11_towel_1;a11_towel_2
A12,water_drip_roomtone,dw_ref_amb_water_drip_sparse_oneshot_sc_room_far_v01_t01.wav,,,a12_roomtone_1;a12_roomtone_2
V01,voice_phrase_01,dw_ref_vox_hair_wash_phrase_01_oneshot_sc_hair_center_v02_t01.wav,,,phrase_01
V02,voice_phrase_02,dw_ref_vox_hair_wash_phrase_02_oneshot_sc_hair_center_v02_t01.wav,,,phrase_02
V03,voice_phrase_03,dw_ref_vox_hair_wash_phrase_03_oneshot_sc_hair_center_v02_t01.wav,,,phrase_03
V04,voice_phrase_04,dw_ref_vox_hair_wash_phrase_04_oneshot_sc_hair_center_v02_t01.wav,,,phrase_04
V05,voice_phrase_05,dw_ref_vox_hair_wash_phrase_05_oneshot_sc_hair_center_v02_t01.wav,,,phrase_05
V06,voice_phrase_06,dw_ref_vox_hair_wash_phrase_06_oneshot_sc_hair_center_v02_t01.wav,,,phrase_06
V07,voice_phrase_07,dw_ref_vox_hair_wash_phrase_07_oneshot_sc_hair_center_v02_t01.wav,,,phrase_07
V08,voice_phrase_08,dw_ref_vox_hair_wash_phrase_08_oneshot_sc_hair_center_v02_t01.wav,,,phrase_08
V09,voice_phrase_09,dw_ref_vox_hair_wash_phrase_09_oneshot_sc_hair_center_v02_t01.wav,,,phrase_09
V10,voice_phrase_10,dw_ref_vox_hair_wash_phrase_10_oneshot_sc_hair_center_v02_t01.wav,,,phrase_10
V11,voice_phrase_11,dw_ref_vox_hair_wash_phrase_11_oneshot_sc_hair_center_v02_t01.wav,,,phrase_11
V12,voice_phrase_12,dw_ref_vox_hair_wash_phrase_12_oneshot_sc_hair_center_v02_t01.wav,,,phrase_12
V13,voice_phrase_13,dw_ref_vox_hair_wash_phrase_13_oneshot_sc_hair_center_v02_t01.wav,,,phrase_13
V14,voice_phrase_14,dw_ref_vox_hair_wash_phrase_14_oneshot_sc_hair_center_v02_t01.wav,,,phrase_14
V15,voice_phrase_15,dw_ref_vox_hair_wash_phrase_15_oneshot_sc_hair_center_v02_t01.wav,,,phrase_15
V16,voice_phrase_16,dw_ref_vox_hair_wash_phrase_16_oneshot_sc_hair_center_v02_t01.wav,,,phrase_16
V17,voice_phrase_17,dw_ref_vox_hair_wash_phrase_17_oneshot_sc_hair_center_v02_t01.wav,,,phrase_17
V18,voice_phrase_18,dw_ref_vox_hair_wash_phrase_18_oneshot_sc_hair_center_v02_t01.wav,,,phrase_18
V19,voice_phrase_19,dw_ref_vox_hair_wash_phrase_19_oneshot_sc_hair_center_v02_t01.wav,,,phrase_19
V20,voice_phrase_20,dw_ref_vox_hair_wash_phrase_20_oneshot_sc_hair_center_v02_t01.wav,,,phrase_20
