group_code,t_seconds,angle_deg,radius,interpolation,intent
G_A01,39,-20,0.85,linear,空间过渡结束后从左前方加入远雨承托
G_A01,480,-20,0.85,linear,长场景稳定承托结束点
G_A01,560,-11,0.92,linear,结尾缓慢变远
G_A01,620,0,1.00,linear,到边缘并配合淡出结束
G_A02,39,15,0.50,linear,空间过渡结束后从正前偏右加入主雨
G_A02,90,29,0.45,linear,长场景主雨缓慢靠近
G_A02,180,24,0.40,linear,长场景主雨保持近处
G_A02,330,20,0.32,linear,长场景最亲近段
G_A02,360,26,0.42,linear,长场景开始回远
G_A02,470,32,0.48,linear,长场景保持主层
G_A02,550,43,0.68,linear,退出前继续变远
G_A02,560,47,0.80,linear,主雨淡出结束位置
G_A03,0,-55,0.38,linear,清脆竹叶雨在左前近处淡入并形成稀疏开场
G_A03,18,-55,0.38,linear,开场近到远过渡起点
G_A03,24,-55,0.78,linear,用六秒移动到较远位置
G_A03,26,-55,0.78,linear,较远位置停留两秒结束
G_A03,32,55,0.78,linear,用六秒从左前移动到右前
G_A03,34,55,0.78,linear,右前位置停留两秒结束
G_A03,38.8,105,1.00,linear,用4.8秒拖到右后方圆盘边缘
G_A03,39,105,1.00,linear,边缘态结束并随开场clip退出
G_A03,39.1,105,0.93,linear,无活动clip期间在同方位收回到细节层半径
G_A03,39.2,105,0.93,linear,从右后方作为最轻细节层重新淡入
G_A03,220,95,0.93,linear,长场景保持右侧轻细节
G_A03,280,80,0.91,linear,长场景细节轻微靠近
G_A03,380,65,0.90,linear,细节层最近点仍轻于远雨
G_A03,440,90,0.92,linear,细节层缓慢回远
G_A03,500,110,0.94,linear,退出前继续变轻
G_A03,530,120,0.98,linear,配合淡出结束
G_A04,188,-138,0.95,linear,第一次阵风从左后远处出现
G_A04,189.2,-117,0.84,linear,第一次阵风略靠近
G_A04,190.4,-100,0.90,linear,第一次阵风掠向左侧
G_A04,191.71,-92,0.98,linear,第一次阵风远去
G_A04,458,146,0.96,linear,第二次阵风从右后远处出现
G_A04,459.2,129,0.86,linear,第二次阵风略靠近
G_A04,460.4,152,0.94,linear,第二次阵风掠回右后
G_A04,461.71,160,0.99,linear,第二次阵风远去
